turkish,english
bizim,ours
benimle,with me 
söyle,Like this
göre,according to
vardı,there
anne,mom
aslında,Actually
dakika,minute
geldi,came
biliyorsun,you know
yoksa,or?
üç,fly
özür,apology
al,get
saat,hour
bence,according to me
neler,what
olmak,to be
herkes,everyone
gerçek,real
ister,whether...or
geliyor,coming
şunu,that
istiyorsun,you want
para,money
yapıyorsun,you do
onunla,with him
uzun,LONG
emin,sure
işte,at work
bakalım,let's see
onlar,them
bugün,Today
miyim,am I
bekle,wait
yine,again
buradan,from here
nedir,why
ilk,first
pek,much
birkaç,a few 
çocuk,child
yer,place
yere,to the ground
birlikte,together
gidelim,lets go
hep,always
şekilde,in the way
eve,home
sizin,yours
söyledi,told
yıl,year
bırak,leave       
çocuklar,Children
olmaz,Impossible
zaten,already
burası,here
kaç,how much
hazır,ready
nereye,To where
hepsi,all
olmalı,must be
dinle,listen
istemiyorum,I don't want
dilerim,I wish
lazım,required
etmek,to do
ilgili,relating to
kendini,self
karşı,opposite
olduğu,that
söz,promise
az,little
eski,old
ediyorum,I'm
kesinlikle,Definitely
anda,at the moment
fakat,but
tane,unit
benden,from me
gerekiyor,it needs
aman,Oh
an,moment
bunlar,these
işe,whereas
işi,heat
birşey,Something
istiyor,wants
yapmak,to do
zor,difficult
görmek,to see
tatlım,sweetie
seviyorum,I love
İki,Two
misiniz,Are you
bundan,from this
diğer,other
kadın,Woman
onlara,to them
kişi,person
yapma,don't do that
oraya,there
senden,from you
kabul,acceptance
elbette,certainly
kontrol,control
kez,times
hoş,pleasant
hafta,week
yarın,tomorrow
gidip,go and go
özel,special
edin,get it
zorunda,must
gereken,required
yanlış,wrong
yerde,on the ground
doktor,doctor
bakın,Look
sağ,Right
dışarı,outside
niye,Why
ediyor,in
gördüm,I saw 
bazı,some
kahretsin,damn it
ihtiyacım,I need
geç,late
dr,DR
birini,one
eminim,I am sure
sakin,beware
nereden,from where
falan,like
mutlu,Happy
dikkat,attention
dedim,I said
yemek,food
hem,both
gidiyor,going
ondan,from him
insan,person 
musunuz,Are you
polis,police
ha,Ha
erkek,Male
yalan,Lie
gitti,gone
yalnız,alone
değildi,it wasn't
beri,since
beş,five
görüşürüz,see you later
çabuk,quick
insanlar,people
merak,curiosity
etti,it
babam,my father
haber,news
nefret,hate
gördün,you saw
umarım,I hope
sence,what do you think
dün,Yesterday
öldü,died
değilsin,You are not
ateş,fire    
veya,or 
ah,Ah
sanki,as if
dolar,dollar
yaptım,I did
geçen,last
ayrıca,Moreover
tanrı,god
kes,cut
jack,jack
yap,do
sabah,morning
etme,relief
olduğumu,that I am
kendine,yourself
kendimi,myself
karar,decision
yerine,in its place
aptal,stupid
üzerinde,on
istediğim,what I want
dört,four
bunları,these
su,This
sonunda,finally
hâlâ,still
vardır,has
akşam,evening
yeter,enough
yaptın,you did
adı,First Name
tamamen,completely
boyunca,along
hangi,Which
olmuş,dead
ay,moon
farklı,different
pekâlâ,ok
kal,remain
olması,to be
olamaz,I can't be
adamım,my man
bitti,finished
açık,open 
ettim,I
bende,Me too
beraber,together
söyledim,I told
yol,path
neyse,Anyway
adamı,man
bazen,Sometimes
tarafından,by
İlk,First
adım,my name
olursa,if it
john,John
aldım,I bought
oldukça,increasingly
annem,my mother
tabi,subject to
yüzünden,because
birisi,someone
konuşmak,to talk
fark,difference
buldum,I found
cevap,reply
zamanı,the time
henüz,yet
kolay,easy
olmadığını,not
yapıyor,doing
saniye,second
gitmek,to go
mükemmel,Perfect
gelecek,future
öyleyse,then
aç,hungry
yoktu,did not have
sahip,owner
yanında,next to you
yolu,way
ise,whereas
onların,they
dedi,said
sakın,beware
içeri,inside
kan,blood
uzak,far
görünüyor,it looks
olun,be
bilirsin,you know
başına,per
oldum,became
durum,situation
bebeğim,My baby
sanmıyorum,I don't think so
olsa,though
yardımcı,helper
anlıyorum,I understand
düşünüyorsun,you are thinking
eder,eligible
genç,youth
neredeyse,almost
ara,Search
geldim,I am here
araba,car 
almak,to take  
söylemek,to say
adamın,your man
halde,in case of
evde,at home
yeniden,again  
dünya,World
günü,day
altında,under
konusunda,about
yaptı,made
takip,follow-up
süre,duration
dersin,you say
miyiz,Are we
galiba,probably
on,front
hızlı,fast
göz,eyelash
istedim,I wanted
konuda,on the subject
herhangi,any
azından,at least
komik,comic
düşündüm,I think
söylüyor,he says
oğlum,my son
duydum,I heard
evlat,son
çocuğu,child
işin,ray
silah,weapon
hepimiz,we all
şuna,to this
çalışıyorum,I am working
ancak,however
ciddi,serious
herif,guy
vay,Wow
hayatım,My love
ev,house
kaldı,remained
boş,empty
gidiyorum,I am going
çıktı,output
sende,You too
altı,six
şeyin,your thing
hava,weather
savaş,war
bin,thousand
rahat,comfortable
garip,strange
hayatta,in life
olacağım,I will be
oyun,game
olduğuna,that
kimin,who's?
bebek,baby
düşünüyorum,I am thinking
alo,Hello
gelen,incoming
hareket,movement
arada,in between
hayal,dream
soru,question
yakın,close
in,of
yaptığını,what you do
el,hand
gidiyoruz,We are going
çalışıyor,Working
kapıyı,the door
hayat,life
gelip,come and come
başladı,started
telefon,telephone
güçlü,strong
new,New
muhtemelen,probably
verdi,given
nasılsın,How are you
durumda,in case
çeneni,your jaw
sürü,herd
böylece,like this
yeterince,enough
be,ben
şaka,joke
şeye,to what
ihtiyacı,need
haklısın,you are right
ait,belonging
arkadaşım,My friend
acele,rush
durun,stop
anladım,I understand
beyler,gentlemen
verin,give
yolunda,on the way
kesin,definite
varsa,if any
olacağını,that
üzerine,over
şeyleri,things
dışında,outside
iyiyim,I am good
baban,your father
gizli,hidden
bilmek,to know
birinin,someone
kısa,short
ortaya,outstanding
hepsini,all
çıkar,interest
olay,event
beyaz,white
dans,dance
zarar,damage
kardeşim,my brother
arasında,between
geldin,You came
kapa,closure
hatta,even
gidiyorsun,You are going
gelir,income
günaydın,Good morning
olmadan,without
yapacağım,I will do it
verdim,I gave
memnun,pleased
kızı,daughter
olmayacak,will not be
geceler,nights
tür,type
geçti,passed
veriyorum,I give
yapamam,I can't do it
uygun,suitable
sam,Sam
sanıyorsun,you think
terk,abandonment
neyi,What
sanıyordum,I thought
sevindim,I am pleased
etmeye,to make
kere,times
sürekli,continually
ölü,dead
fikir,idea
değildir,not
tahmin,guess
neydi,what was it
canım,Darling
yüksek,high
korkunç,terrible
zamanda,at the time
yaşlı,old
sensin,you are
hissediyorum,I am feeling
güle,bye
olmadı,It didn't happen
ölüm,death
İçeri,Inside
herşey,everything
mısınız,Are you
sağol,Thanks
aldı,took
dolu,full
gerektiğini,what
çeviri,translation
anladın,you understand
çık,exit
acaba,I wonder
olurdu,would be
gelin,bride
ihtiyacın,Your need
parayı,the money
içine,into
ihtiyacımız,we need
rahatsız,uncomfortable
güvenlik,security
neyin,what
edecek,to be
acı,angle
biliyordum,I knew
ediyorsun,you are
diyorsun,you say
bırakın,quit
hasta,patient
çek,Check
geliyorum,I am coming
üzere,as well as
bizimle,with us
milyon,million
sizinle,With you
mümkün,possible
tuhaf,strange
yakında,soon
annen,your mother
dön,frost
affedersiniz,you forgive
charlie,charlie
eden,driving
yemin,oath
berbat,wretched
dedin,you said
dikkatli,carefully
dünyanın,world
siktir,Fuck
ana,mother
frank,franc
otur,sit down
aşağı,down
yapacağız,we will do
burda,here
normal,normal
yapacak,will make
şöyle,Like this
vermek,to give
dışarıda,outside
yapmaya,to do
yapıyorum,i do
başkan,minister
varmış,there
olmayan,non-
anlaşıldı,understood
istedi,wanted
deli,mad
yukarı,above
belli,clear
şans,chance
birine,to someone
söyledin,You said
at,horse
istediğini,what you want
oradan,from there
kaptan,captain
tatlı,sweet
dek,until
michael,Michael
seks,sex
pardon,pardon
istersen,if you want
duydun,you heard
bilmem,I don't know
nefes,breath
yapar,does it
güç,strength
hata,mistake
getir,bring
olup,in
ettin,you did
keşke,If only
insanların,peoples
bununla,With this
tut,Keep
bi,one
yalnızca,Only
biliyoruz,we know
inanamıyorum,I cant believe
koca,husband
ajan,agent
kahve,coffee
benziyor,looks like
neye,whereat
herşeyi,everything
isterim,I would like
sefer,expedition
evine,home to home
yeri,place
görüyorum,I see
basit,simple
herkesin,everybody's
kızlar,girls
hayatını,life
üstüne,over
durumu,status
yavaş,slow
İnsanlar,People
aile,family
tehlikeli,dangerous
dalga,wave
baş,head
aldın,you got it
bayım,sir
millet,people
yaşında,old -time
ufak,small
bilgi,information
ele,hand
buradayım,I am her
yeterli,sufficient
aynen,Exactly
gidin,go
yıldır,years
bunların,these
miydi,was it
olası,possible
zamandır,for time
herhalde,I suppose
george,George
ahbap,buddy
sessiz,silent
köpek,dog
kahrolası,goddamn
alıp,take off
sıcak,hot
temiz,clean
olmalısın,you must be
yüz,face
görünüyorsun,you look
önünde,in front
arkadaş,friend
olmasını,to be
dair,about
bilmiyor,he does not know
görüyor,sees
anlamıyorum,I don't understand
hoşça,nicely
vakit,time
yapmam,I don't do
söylüyorum,I'm saying
yedi,seven
olacaksın,you will be
düşünüyor,thinking
söylemiştim,I said
doğum,birth
adını,name
olduğun,you
yapacaksın,you will do
diyorum,I say
tom,tom
düşün,think
diyor,says
buldun,you found
alın,forehead
erken,early
ses,sound
konu,Subject
acil,urgent
istediğin,you want
bilemiyorum,I do not know
kızım,my daughter
haklı,right
kimsenin,nobody
adına,in the name of
sesini,your voice
mıydı,was it
olsaydı,if it was
ikinci,second
bulmak,to find
tıpkı,just as
yerinde,in place
gitmem,I dont go
uyuşturucu,drugs
aşk,love
sonraki,next
peter,Peter
işler,works
canlı,live
birden,suddenly
ta,ta
çekil,get out
yoktur,there is no
olduğum,I am
bilmiyordum,I didn't know
numara,number
üstünde,above
bilir,knows
orospu,bitch
insanları,people
edeceğim,I will make
arkadaşın,your friend
alabilir,you can get
hatırlıyor,Remember
hak,right
bakma,do not look
almaya,to buy
gerçeği,reality
cinayet,murder
yerini,location
kendisi,itself
asıl,royal
yaparım,I do
birçok,A lot
kızın,your daughter
muhteşem,wonderful
görünüşe,seemingly
öldürmek,kill
oda,room
kırmızı,red
söyleme,saying
gelmiş,arrived
film,film
kimsin,who are you
evi,the House
pislik,dirt
bahsediyorsun,you are talking
kalk,get up
sıkı,tight
bekliyor,waiting
İşe,Whereas
unutma,don't forget
buradaki,here
işim,name
mesaj,message
zavallı,poor
fena,bad
güvenli,trustworthy
istiyorsan,if you want
kimseye,to anyone
yürü,walk
anlat,to explain
söylüyorsun,you say
bağlı,connected
biriyle,with someone
verir,giving
şarkı,song
konuşma,speech
olmaya,to be
içki,drink
işini,Your job
birşeyler,something
david,David
the,The
parti,party
sonsuza,to infinity
harry,Harry
onlardan,from them
sonu,end
zamanlar,times
sebep,reason
saçma,nonsense
adamlar,men
yanına,next
geldik,we came
anlamı,meaning
parçası,Part of it
olduğundan,because
bulduk,we found
silahı,weapon
yapabilirim,I can
gerekir,must
yapalım,let's do
bayanlar,ladies
alacağım,I will take
özellikle,especially
alan,area
rağmen,despite
anlıyor,understands
sevgili,beloved
ölmüş,dead
tercih,preference
sayın,Dear
değiliz,we are not
aşkına,for your love
yaptığı,what he did
babası,his father
suç,crime
yemeği,food
burayı,here
gayet,very
umurumda,I care
general,general
bok,shit
bizden,U.S
elinde,in your hand
dürüst,honest
sıra,order 
İyiyim,I am good
joe,joe
kusura,sorry
yapan,doing
kalan,remainder
affedersin,you forgive
eğlenceli,fun
kayıp,loss
gerekiyordu,needed
dolayı,because
yaptığın,you do
onlarla,with them
defa,times
çocukları,children
olma,being
takım,set
sert,hard
teklif,offer
de,also
seviyor,love
bekleyin,wait
teslim,delivery
babamın,my fathers
çalışıyorsun,you work
soğuk,cold
katil,join
yaşıyor,Living
iyisi,good
sebebi,reason
çoğu,most
söyleyeyim,let me tell you
istemiyor,does not want
gitsin,let go
james,james
baksana,look
şeyden,out of what
gurur,pride
tanıyor,knows
geldiniz,welcome
arkadaşı,his friend
mike,mike
alır,gets
siyah,black
göster,show
edebilir,can
canına,to your life
şehir,city
kapı,door
patron,boss
istiyoruz,we want
tarafa,to side
anlaşma,agreement
geldiğini,that
dinleyin,listen
eskiden,before
görmedim,I didn't see
yarım,half
fikrim,my idea
ın,of
duyuyor,hears
altına,under
olmasın,not
demektir,means
arabayı,the car
yo,yo
günler,days
sene,year
süper,Super
niçin,why
orası,there
salak,idiot
adama,to man
yola,on the road
çocuğun,your child
kendim,myself
davet,Invitation
zorundayım,I have to
düşünüyordum,I was thinking
yapmış,made
kendime,to myself
hale,state
kalmak,to stay
gelmek,to come
yaptığım,what I do
öğrenmek,to learn
müzik,music
sona,end
kalp,heart
okul,school
aşık,in love
kalın,thick
istemedim,I didn't want
çoktan,already
ağır,heavy
arka,back
noel,Christmas
iç,drink
iyilik,goodness
serbest,free
hepiniz,all of you
taraftan,on the side
şef,chef
görmeye,to see
istemem,I do not want
ellerini,your hands
hoşuma,I like it
bul,find
çeşit,sort
sekiz,eight  
bakayım,let me see
herkese,to everyone
olayı,incident
ilginç,interesting
aferin,well done
sahibi,owner
dan,from
günün,your day
verici,transmitter
hatırlıyorum,I remember
vereceğim,I will give
konuş,talk
mavi,blue
kitap,book
kavga,fight
getirdim,I brought
istiyorsunuz,you want
çekilin,withdraw
gider,expense
telefonu,phone
bira,beer
şimdiye,so far
anlamına,meaning
birileri,someone
gitmeliyim,I have to go
İş,Work
resmi,official
görev,duty
baylar,gentlemen
nedeni,Reason
güneş,sun 
güven,trust
duymak,to listen
herkesi,everyone
isim,name
paul,Paul
dünyada,in the world
sigara,cigarette
dedektif,detective
oldun,you became
la,La
düşünmüştüm,I thought
severim,I like
üçüncü,third
gidecek,will go
kral,king
olanlar,what happened
aptalca,stupid
zengin,rich
jimmy,Jimmy
ifade,expression
elini,your hand
cehenneme,to hell
olabilirim,I could be
kapat,close
parça,piece
mesela,for example
cidden,really
sırada,in line
veriyor,giving
kadınlar,women
adın,your name
kimseyi,nobody
dua,prayer
amerikan,American
gerekli,necessary
önceki,former
gittim,i went
edeyim,let me
söylemiştin,you said
isterdim,I would have liked to
yaklaşık,approximately
yapmayı,to do
kara,black
olman,your being
dava,case
yüzbaşı,captain
yapabilir,can do
kendin,yourself
yıllar,years
gir,enter
kelime,word
sık,chic
zeki,intelligent
karanlık,darkness
vakti,time
yazık,what a pity
tanıyorum,I know
alıyorum,I'm buying
olacağız,we will be
karım,my wife
tebrikler,Congratulations
albay,colonel
bob,bob
başıma,to me
saçmalık,nonsense
koy,bay
verdin,you gave
unut,forget
etmiş,it has
kaldım,I stayed
yapıyorsunuz,you do
kutsal,sacred
yapıyoruz,we do
duyuyorum,I hear
öldürdü,killed
ray,rail
ön,front
yaşam,life
hayatı,vital
kadının,woman
hikaye,story
un,Fame
geriye,back
üst,top
söyleyeceğim,I will say
alıyor,taking
isteyen,wanting
birazdan,Soon
değer,value
kimi,who
defol,get out
şanslı,lucky
suçlu,guilty
tamamdır,Ok
uh,UH
hoşuna,you like it
satın,purchase
saygı,respect
yapmadım,I did not do
edelim,let's
sizden,from you
almış,bought
hayatımı,my life
sürece,as long as
çift,couple
olmayı,to be
çalışan,worker
çıkıp,out of
birinci,first
tony,tony
hediye,gift
İkinci,Second
kişisel,personal
gördüğüm,what I see
ettiğini,what
ikna,persuasion
yolunu,way
mıyım,am I
altın,gold
farkında,aware
endişelenme,don't worry
ee,ee
annesi,his mother
götür,take
gerekecek,will be required
derece,degree
söyleyin,Say
söyler,Saying
balık,fish
ortak,partner
ilgisi,interest
biliyorsunuz,you know
dışı,female
hayatın,Your life
bölüm,section
yüce,sublime
işleri,work
danny,Danny
duruyor,stops
gitme,don't go
arabaya,in the car
deniz,sea
güvende,safe
verme,giving
hanımefendi,lady
seksi,sexy
kalmadı,no more
iyidir,is good
gideceğim,I will go
sarah,Sarah
max,max
döndü,turned
park,Park
erkekler,men
kalacak,will stay
tehdit,threatening
elde,in the hand
olduğumuzu,that we are
jake,jake
arıyor,calling
korkarım,I'm afraid
buralarda,in here
çalıştım,I worked
ayak,foot
pis,filthy
yardıma,to help
gitmiş,gone
verecek,will give
sesi,sound
yaşamak,to live
yada,or
yoldan,out of the way
gücü,power
çıkmak,to leave
İnsan,Person
hoşçakal,Goodbye
polisi,policeman
okula,to school
yiyecek,food
inanılmaz,unbelievable
arıyorum,I am searching
alacak,receivable
kulak,ear
mantıklı,logical
şuraya,there
kafa,head
bilmiyorsun,You do not know
oyunu,game
alex,Alex
bildiğim,I know
ayağa,to the feet
etmez,not
önceden,previously
clark,Clark
olurum,I will be
tarafta,on the side
sol,left
kadını,woman
yaz,Summer
muydu,was it
da,in
mal,goods
dene,try
teğmen,lieutenant
ortadan,in the middle
bill,Bill
yaptık,we did
nesi,what's up
insanlara,to people
geldiğinde,when it comes
haline,into
ikiniz,two of you
istersin,you want
zorundasın,you have to
jim,jim
zamanlarda,in times
istediğimi,what I want
giden,outgoing
gördünüz,you saw
şanslar,luck
açın,open
test,test
eee,eee
yaramaz,naughty
degil,not
korumak,to protect
ediyoruz,we do
müthiş,wonderful
henry,Henry
ciddiyim,I am serious
buydu,that was
dünyayı,the world
destek,support
alt,lower
kaza,accident
yapabilirsin,you can do
istediği,wanted
olanları,what happened
sorunu,problem
yapman,you do
yolda,on the road
mary,Mary
sıradan,ordinary
yanımda,by my side
vur,hit
babanın,Your father
paris,Paris
yoluna,on the way
asker,soldier
yerden,out of the ground
sahi,actually
afedersiniz,excuse me
parmak,finger
aradı,called
plan,plan
nerde,Where
gibiydi,it was like
gösteriyor,is showing
evin,your house
kalsın,stay
neredesin,Where are you
olmadığı,not
elimden,from my hand
yıldız,star
aşırı,extreme
edip,educated
peder,father
edersin,you
adamla,with the man
sarhoş,drunk
veririm,I give
muydun,have you been
edildi,was
kapalı,closed
gerekirse,if necessary
gemi,boat
buradasın,you are here
önemi,the importance of
hayvan,animal
metre,metre
kat,floor
sevdim,I loved
gelmiyor,does not come
çavuş,Sergeant
hani,you know
orda,there   
tedavi,treatment
sorunun,your problem
iğrenç,disgusting
sahte,fake
baştan,from the beginning
istiyorlar,they want
grup,group
gözlerini,your eyes
olabilirsin,you can be
sürpriz,surprise
yarısı,half
bomba,bomb
öldürmeye,to kill
sanmıştım,I thought
muyum,am I
arkasında,behind
çıkıyor,turns out
ye,eat
türlü,various kinds of
gitmeliyiz,we should go
sever,lovers
derin,deep
olmam,not to be
san,singing
olduğunda,when
söylemişti,he said
ders,lesson
güzeldi,it was beautiful
johnny,johnny
başlıyor,starting
edebilirim,I can
olduğunuzu,you are
inanıyorum,I believe
annemin,my mom's
arıyorsun,you are looking for
bazıları,some
konuşuyor,speaking
kalmış,remained
piç,Bastard
başladım,I started
başarılı,successful
konuşabilir,can talk
oturup,sitting
koş,run
etmeyi,to do
geleni,what's the future
ikimiz,the two of us
elimizde,in our hands
günde,on a day
uçak,aeroplane
getirin,Bring
tutun,tobacco
uyan,wake up
şeker,sugar
nasıi,nasıi
miydin,Are you
rica,request
evli,married
yeşil,green
genelde,in general
alırım,I get
öylece,so
adamları,his men
anlamadım,I don't understand
bayağı,pretty
üzgün,sad
buz,ice
bekliyorum,I am waiting
elimde,in my hand
İsa,Jesus
olanı,what is
değerli,valuable
arama,call
zorundayız,we have to
daima,always
teki,in
çalış,Work
konuyu,subject
ararım,I'll call
yatak,bed 
buldu,found
şimdilik,now
özgür,free
hapse,to prison
aramızda,between us
akıllı,clever
olsam,if I were
rüya,dream
olduklarını,that they are
akşamlar,evenings
girdi,entry
mıyız,Are we
allah,God
ziyaret,visit
gelmedi,did not come
yazıyor,he is writing
profesör,professor
hamile,pregnant
geçiyor,passing
giriş,entrance
richard,richard
etmeyin,do not
araya,in
havaya,in the air
kaybettim,I lost
diğerleri,others
korkuyorum,I am scared
kadarıyla,as far as
dahil,including
değildim,I wasn't
kaldır,lift
chris,chris
gittiğini,that you go
zayıf,weak
kafayı,head
söylediler,they said
derhal,immediately
söyleyecek,will say
çocukların,children
evinde,at home
hiçbirşey,nothing
mesele,issue
alayım,let me take
avukat,lawyer
insanın,man
doğal,natural
hazırım,I am ready
sandım,I thought
bilim,science
anlama,understanding
oğlu,son-
konuşmaya,to talk
güney,South
ailesi,family
aldık,we got it
ailem,my family
sonuna,to the end
imkansız,impossible
yemeğe,to dinner
los,loess
şurada,there
aklıma,to my mind
söylemem,I don't say
dokuz,nine
york,york
kurtarmak,to save
ölmek,to die
dünyaya,to the Earth
bunlardan,Of these
düştü,fell
com,com
iyiydi,it was good
billy,Billy
çalışma,study
zamana,to time
eric,Eric
nick,Nick
demiştim,I said
ileri,forward
odasında,in the room
geçmiş,past
silahını,your weapon
dönmek,return
beyin,brain
iptal,cancel
kime,to who?
çekici,attractive 
şeytan,devil
kuzey,north
çalışmak,to work
etrafta,around
hedef,aim
majesteleri,Your Majesty
sayılmaz,unseen
cep,pocket
İşin,Ray
jerry,Jerry
askeri,military
konuştum,I talked
aradım,I called
mark,Mark
numaralı,numbered
fazlasını,more
tanrı'nın,God's
hizmet,service
saldırı,attack
işten,work
önüne,before
hayatımın,my life
gelebilir,can come
olmasına,to be
aşağıda,below
chuck,chuck
domuz,pig
adil,fair
öldürdün,you killed
topu,ball
yaptığımı,what I did
diyeceğim,I will say
top,ball
süredir,for a while
söylemedim,I do not say
memur,officer
sor,sir
başlayalım,lets start
ismi,name
gibisin,you are like
sevdiğim,Favorite
başı,head
bahse,bet
şansı,chance
deme,do not say
evden,from home
söylediğim,what I say
söylemeye,to say
can,life
yapın,do it
bilmiyoruz,we don't know
kenara,aside
İzin,Permission
charles,charles
will,Will
alman,German
not,note
ışık,light
kulağa,to the ear
istedin,you wanted
zevk,pleasure
kurban,victim
ettik,we
başla,Start
etmem,not
zamanında,on time
yüzünü,your face
gelmez,unimaginable
oturun,sit down
kızgın,angry
mr,MRI
girmek,to enter
fbi,FBI
çay,tea
ederiz,we
yaşayan,live
harekete,movement
çıkmış,out
kardeşin,Your brother
görmüş,selected
sırasında,during
hatırladın,you remember
saatte,on the hour
angeles,Angeles
bobby,Bobby
sıkıcı,boring
şerif,Sheriff
şarap,wine
hallederim,I will handle it
bilgisayar,computer
gideceğiz,we will go
düzgün,smooth
kate,Kate
walter,Walter
sağlam,durable
hayir,No
kahraman,hero
hastaneye,to hospital
tamir,fix
resim,picture
araştırma,research
çılgın,crazy
nasılsınız,How are you
mektup,letter
olacaktır,will
sevgilim,My love
yabancı,foreign
olabileceğini,that
yan,side
sayesinde,thanks to
çıkarın,take off
andy,Andy
zamandan,from time to time
polisler,police officers
kıçını,your ass
ruh,soul
çıkan,released
yarı,half
yapayım,let me do
ünlü,famous
haberi,news
problem,problem
işine,to work
İnsanların,Peoples
karısı,his wife
seçim,vote
kurşun,bullet
öldür,kill
kanıt,evidence
yakışıklı,handsome
savunma,defense
İnanılmaz,Unbelievable
başa,to the head
hatırlamıyorum,I can't remember
bıraktım,I left
tarafı,side
uzakta,away
geride,back
oynamak,play
işaret,sign
bakmak,to look 
rapor,report
bağlantı,connection
söylemedin,you didn't say
meşgul,busy
ikisi,the two
başlıyoruz,we start
birer,one
kişinin,person
fırsat,opportunity
masum,innocent
karın,your wife
sorumlu,responsible
yana,sideways
izi,trail
ters,opposite
gerekmiyor,not needed
aklını,your mind
göstermek,to show
çıplak,naked
geçiyorsun,you pass
bölge,area
getirdi,brought
kısmı,partial
eddie,Eddie
olursun,you will be
fikrin,your idea
tommy,Tommy
binlerce,thousands
cinsel,sexual
girecek,will enter
itiraf,admission
der,he says
başında,at the beginning of
don,frost
çıkın,go out
peşinde,in pursuit
bulmaya,to find
babamı,my father
rachel,Rachel
parasını,his money
kardeş,brother
değiller,they are not
gelince,as for
oradaki,there
yapabiliriz,we can do
diyelim,let's say
boktan,shitty
nasıldı,how was it
ceset,body
elinden,from his hand
dönüp,turn around
kuş,bird
anlaştık,we agreed
e,to
iyisini,good
kocaman,huge
yapacağımı,I will do
biliyordu,He knew
dünyadaki,in the world
göremiyorum,I can not see
jane,jane
odasına,in the room
söylerim,I say
olmuyor,It isn't happening
epey,quite
veren,giving
brian,Brian
ettiğim,what
larry,Larry
kiminle,with who
olmuştu,had happened
etmiyor,does not
dönerim,I return
birazcık,a little
suyu,water
yapmamız,we do
bey,gentleman
taş,stone
öğle,noon
orta,middle
bıraktı,He left
engel,obstacle
yapmamı,I do
yerlerde,in places
çalışıyoruz,we are working
yapamazsın,You can not
sey,thing
claire,Claire
girip,enter
hariç,not including
aşağıya,down
spor,sport
bol,plenty
İmdat,Help
görüyorsun,you see
sınıf,class
odada,in the room
kitabı,book
evlilik,marriage
nerden,From where
iyice,thoroughly
sizce,what do you think
geleceğim,I will come
ortada,obvious
emir,order
şükür,thanks
uzay,space
steve,Steve
veremem,can not give
edeceğiz,we will
futbol,football
kilo,kilo
adında,named
william,William
özledim,I miss
ayrı,separate
filmi,film
robert,Robert
yüzde,percentage
ediyorlar,they are
hangisi,Which one
birbirimize,to each other
numarası,its number
çalışıyordum,I was working
üzüldüm,I am sad
te,te
hmm,hmm
te,te
bakıyorum,I'm looking
sır,secret
yukarıda,above
dokunma,Do not touch
kör,blind
buradayız,we are here
yaparsın,you do
verdiği,giving
İnan,Believe
canını,your life
değilse,if not
konusu,subject
yağmur,rain
yat,sleep
çıkış,exit
İstediğin,You want
odası,room
enerji,energy
ihtiyaç,need
amca,uncle
öğrendim,I learned
düşman,enemy
sistemi,system
benzer,similar
edemem,I can't
şüpheli,suspicious
arabada,In the car
annenin,your mother's
zamanki,the time
dönüyor,Returning
hayatının,Your life
öldürecek,will kill
fazlası,more than
afedersin,you are sorry
kızla,with the girl
arasındaki,between
lan,lan
girin,enter
İçinde,Inside
gördü,he saw
arkadaşlar,Friends
çirkin,ugly
ryan,ryan
